,carat,cut,color,clarity,depth,table,x,z,price
0,0.43,3,3,6,60.3,58.0,4.87,2.95,1207.0
1,0.71,3,1,2,59.4,58.0,5.76,3.44,2843.0
2,2.28,2,6,5,62.7,57.0,8.43,5.31,16450.0
3,0.34,2,1,2,60.7,56.0,4.55,2.73,765.0
4,1.52,2,6,2,61.9,57.0,7.33,4.55,7356.0
5,1.34,3,3,5,61.1,58.0,7.12,4.33,10431.0
6,0.53,1,1,7,63.4,61.0,5.11,3.23,2582.0
7,0.7,0,4,2,61.0,66.0,5.68,3.45,1715.0
8,1.62,1,6,3,64.2,62.0,7.41,4.64,6223.0
9,0.56,2,1,5,61.9,55.0,5.34,3.29,1915.0
10,0.33,2,3,5,61.7,55.9,4.45,2.75,604.0
11,0.71,2,4,6,62.0,57.0,5.71,3.55,2739.0
12,1.33,3,4,2,61.5,59.0,7.06,4.33,7472.0
13,0.93,3,0,3,61.6,57.0,6.26,3.9,4140.0
14,1.03,2,3,5,60.7,57.0,6.44,3.93,6793.0
15,0.7,4,3,4,62.8,57.0,5.63,3.55,2475.0
16,0.55,2,1,5,62.1,55.0,5.28,3.26,1715.0
17,0.51,2,0,2,61.9,55.0,5.15,3.18,1597.0
18,0.31,2,5,1,61.2,57.0,4.35,2.67,914.0
19,2.4,3,6,2,59.7,58.0,8.75,5.21,15920.0
20,0.39,4,1,5,59.6,57.0,4.77,2.83,712.0
21,1.04,2,5,2,62.2,56.0,6.51,4.04,4484.0
22,0.3,2,2,5,62.5,54.0,4.29,2.69,590.0
23,0.38,4,4,5,60.4,56.0,4.71,2.86,871.0
24,1.1,2,3,5,62.0,56.0,6.6,4.12,6534.0
25,0.9,4,0,3,58.8,59.0,6.24,3.68,3643.0
26,0.35,2,0,5,61.8,56.0,4.55,2.8,1063.0
27,1.01,4,5,2,61.4,59.0,6.39,3.94,4693.0
28,0.31,2,2,5,61.1,56.0,4.35,2.67,640.0
29,1.52,0,4,4,62.1,66.0,7.33,4.5,8674.0
30,0.32,2,1,6,61.8,55.0,4.43,2.73,900.0
31,0.51,2,1,2,61.5,55.0,5.18,3.18,1649.0
32,0.7,0,2,4,64.9,59.0,5.56,3.62,3039.0
33,0.72,2,4,1,58.7,59.0,5.94,3.47,3048.0
34,1.02,3,0,2,61.3,59.0,6.43,3.99,6047.0
35,1.52,4,3,5,61.6,56.0,7.37,4.56,12730.0
36,0.35,3,4,1,60.6,60.0,4.57,2.75,1024.0
37,0.71,1,2,5,63.6,58.0,5.65,3.59,2494.0
38,0.53,0,1,2,56.2,64.0,5.43,3.05,1581.0
39,2.06,3,5,3,60.8,60.0,8.25,4.99,15716.0
40,2.02,3,1,3,59.8,58.0,8.14,4.89,17825.0
41,0.56,2,3,4,60.7,55.0,5.33,3.25,1855.0
42,1.01,1,1,3,64.8,58.0,6.24,4.06,4149.0
43,0.31,2,3,1,61.2,55.0,4.4,2.7,891.0
44,0.33,4,1,6,61.6,53.0,4.46,2.76,848.0
45,0.41,1,2,6,62.3,53.0,4.77,2.98,1295.0
46,1.22,3,5,4,62.6,58.0,6.76,4.24,6763.0
47,1.21,1,3,5,64.1,58.0,6.74,4.3,7047.0
48,1.86,4,4,2,62.6,58.0,7.77,4.88,14383.0
49,0.38,4,1,7,61.8,56.0,4.64,2.88,1000.0
50,0.36,2,3,3,61.1,54.0,4.61,2.83,505.0
51,0.38,2,2,5,62.1,53.8,4.66,2.9,983.0
52,0.7,4,2,2,59.1,59.0,5.76,3.45,2278.0
53,0.3,2,5,1,62.0,57.0,4.28,2.66,615.0
